Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Company Type,Website,Number of Sub-Orgs,Investor Type,Investment Stage,Number of Exits (IPO),Number of Exits,Number of Diversity Investments,Number of Investments,Number of Lead Investments,Number of Portfolio Organizations,Primary Industry,Primary Industry URL,Industry Groups,Founders,Number of Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Lead Investors,Number of Lead Investors,Number of Investors
Samsung Electronics,https://www.crunchbase.com/organization/samsung-electronics,,"Consumer Electronics, Electronics, Manufacturing, Mobile Apps, Mobile Devices","Seoul, Seoul-t'ukpyolsi, South Korea","Samsung Electronics is a technology company that engages in consumer electronics, IT and mobile communications, and device solutions.",321,Asia-Pacific (APAC),Active,1969-02-12,day,1975-06-11,day,For Profit,https://www.samsung.com,16,,,8,21,7,72,25,68,,,"Apps, Consumer Electronics, Hardware, Manufacturing, Mobile, Software","Byung-chul Lee, Jenny Gizzi",2,10001+,2,IPO,2024-04-15,4745000000,USD,4745000000,Grant,,,,Post-IPO Equity,,,,4745000000,USD,4745000000,"KB Securities, U.S. Department of Commerce",U.S. Department of Commerce,1,2
Thales,https://www.crunchbase.com/organization/thales-cloud-protection-licensing-solutions,,"Cloud Security, Information Technology, Network Security, Software","Austin, Texas, United States","Thales Cloud Protection & Licensing Solutions provides security for the cloud, data, and software.",469,Southern US,Active,2001-01-01,year,2022-07-29,day,For Profit,https://cpl.thalesgroup.com/,,,,,,1,2,,2,,,"Information Technology, Privacy and Security, Software",,,1001-5000,1,M&A,2025-07-22,1000000,USD,1000000,Grant,,,,,,,,1000000,USD,1000000,Innovation for Defence Excellence and Security,Innovation for Defence Excellence and Security,1,1
Palantir Technologies,https://www.crunchbase.com/organization/palantir-technologies,,"Analytics, Artificial Intelligence (AI), Big Data, Enterprise Software, National Security, Software","Denver, Colorado, United States",Palantir Technologies is a software company that develops data analytics and data integration software solutions.,"1,608","Greater Denver Area, Western US",Active,2003-05-09,day,2020-09-30,day,For Profit,http://www.palantir.com,1,,,10,10,1,18,4,16,,,"Artificial Intelligence (AI), Data and Analytics, Government and Military, Science and Engineering, Software","Alexander Karp, Joe Lonsdale, Nathan Gettings, Peter Thiel, Stephen Cohen",5,1001-5000,29,IPO,2023-08-31,10080000,USD,10080000,Post-IPO Equity,10080000,USD,10080000,Post-IPO Equity,3019678765,USD,3019678765,3027970015,USD,3027970015,"Craft Ventures, Founders Fund, 137 Ventures, ARK Investment Management, Goldman Sachs","Akkadian Ventures, ARK Investment Management, Founders Fund, Goldman Sachs, Kortschak Investments L.P., REV, Sompo Holdings",7,65
Ericsson,https://www.crunchbase.com/organization/ericsson,,"Information Technology, Internet, Mobile, Telecommunications","Kista, Stockholms Lan, Sweden",Ericsson is an information and communications technology company that offers network services.,"2,135","European Union (EU), Nordic Countries, Scandinavia",Active,1876-01-01,day,1981-08-28,day,For Profit,https://www.ericsson.com,7,"Hedge Fund, Micro VC",Early Stage Venture,1,10,1,25,4,19,,,"Hardware, Information Technology, Internet Services, Mobile","Lars Magnus Ericsson, Peter Matthews",2,10001+,8,IPO,2025-04-04,1200000000,SEK,119989201,Post-IPO Equity,1200000000,SEK,119989201,Post-IPO Equity,489989201,USD,489989201,1818990905,USD,1818990905,"European Investment Bank, Nordic Investment Bank, SEK, Investor, Cevian Capital","Cevian Capital, European Investment Bank, Investor, Nordic Investment Bank, SEK",5,5
Comcast,https://www.crunchbase.com/organization/comcast,,"Internet, Telecommunications, TV, Video, Web Hosting","Philadelphia, Pennsylvania, United States","Comcast is a media and technology company that provides broadband internet, mobile services, and entertainment platforms.","2,287","Greater Philadelphia Area, Great Lakes, Northeastern US",Active,1963-06-28,day,1972-06-29,day,For Profit,https://corporate.comcast.com,28,,,1,6,8,55,30,48,,,"Hardware, Internet Services, Media and Entertainment, Video","Daniel Aaron, Julian Brodsky, Ralph J. Roberts",3,10001+,7,IPO,2025-11-13,3200000,USD,3200000,Grant,870000000,USD,870000000,Post-IPO Equity,870000000,USD,870000000,4917010772,USD,4917010772,"Trian Fund Management, California Public Utilities Commission, Massachussetts Broadband Institute, Maine Connectivity Authority, Connect Maryland","California Public Utilities Commission, Connect Maryland, Maine Connectivity Authority, Massachussetts Broadband Institute, Trian Fund Management",5,5
The Metals Company,https://www.crunchbase.com/organization/deepgreen-metals,,"Energy, Mining, Mining Technology, Precious Metals","Vancouver, British Columbia, Canada",The Metals Company provides battery-powered shifts to clean energy and electric vehicles.,"3,620",,Active,2011-01-01,year,2021-09-10,day,For Profit,https://metals.co,,,,,,,,,,,,"Energy, Natural Resources",Gerard Barron,1,11-50,9,IPO,2025-06-16,85200000,USD,85200000,Post-IPO Equity,85200000,USD,85200000,Post-IPO Equity,424025168,USD,424025168,424025168,USD,424025168,"Glencore, Korea Zinc, Macquarie Capital, Maersk, Allseas Group","Brian Paes-Braga, Fearnley Securities, Korea Zinc, Macquarie Capital, Michael Hess",5,8
Rolls-Royce,https://www.crunchbase.com/organization/rolls-royce-plc,,"Aerospace, Automotive, Energy, Industrial Manufacturing, Logistics, Machinery Manufacturing, Manufacturing","London, England, United Kingdom","Rolls-Royce provides aerospace engines, power systems, defense propulsion, marine solutions, and comprehensive MRO services.","4,090","Europe, Middle East, and Africa (EMEA)",Active,1906-03-15,day,1987-05-20,day,For Profit,http://www.rolls-royce.com,2,,,2,2,,4,1,3,,,"Energy, Manufacturing, Science and Engineering, Transportation","Charles Rolls, Henry Royce",2,10001+,6,IPO,2026-03-17,64000000,EUR,73644735,Grant,195000000,GBP,264420045,Post-IPO Equity,195000000,GBP,264420045,350298294,USD,350298294,"UK Space Agency, United States Navy, Clean Aviation, BNF Resources, Exelon Generation Company","BNF Resources, Clean Aviation, Exelon Generation Company, UK Space Agency, United States Navy",5,5
Alphabet,https://www.crunchbase.com/organization/alphabet,,"Artificial Intelligence (AI), Information Technology, Search Engine, Software, Video Streaming","Mountain View, California, United States","Alphabet is a holding company that provides projects with resources, freedom, and focus to make their ideas happen.","4,127","San Francisco Bay Area, Silicon Valley, West Coast",Active,2015-10-02,day,2004-08-19,day,For Profit,https://abc.xyz,11,,,2,3,8,32,9,23,,,"Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Information Technology, Internet Services, Media and Entertainment, Science and Engineering, Software, Video","Larry Page, Sergey Brin",2,10001+,4,IPO,2026-02-09,20000000000,USD,20000000000,Post-IPO Debt,,,,Post-IPO Equity,,,,50130240845,USD,50130240845,,,,
TEKEVER,https://www.crunchbase.com/organization/tekever,,"Aerospace, Information Technology, Military, Software","Lisboa, Lisboa, Portugal","The Tekever Group is a provider of innovative technologies in Software, Aerospace, Defence, and Security Markets.","5,263","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2001-01-04,day,,,For Profit,http://www.tekever.com,,,,,,,,,,,,"Government and Military, Information Technology, Science and Engineering, Software","Nuno Cunha, Pedro Sinogas, Vítor Cristina",3,1001-5000,3,,2025-05-06,400000000,GBP,534202302,Venture - Series Unknown,400000000,GBP,534202302,Venture - Series Unknown,630669891,USD,630669891,630669891,USD,630669891,"Baillie Gifford, Iberis Capital, National Security Strategic Investment Fund, NATO Innovation Fund, Crescent Cove Advisors","Baillie Gifford, NATO Innovation Fund, Ventura Capital",3,7
BAE Systems,https://www.crunchbase.com/organization/bae-systems,,"Aerospace, Manufacturing, Military, National Security, Navigation","London, England, United Kingdom","BAE Systems is an aerospace, defence, and information security company that provides advanced and technology-led solutions.","5,613","Europe, Middle East, and Africa (EMEA)",Active,1999-11-30,day,1981-02-11,day,For Profit,http://www.baesystems.com,6,,,1,2,1,8,4,7,,,"Government and Military, Information Technology, Manufacturing, Navigation and Mapping, Science and Engineering",Roger Carr,1,10001+,9,IPO,2025-06-19,9220000,GBP,12425608,Grant,,,,,,,,142270436,USD,142270436,"NYSERDA, Scottish Enterprise, U.S. Department of Defense, U.S. Department of Commerce, United States Navy","Scottish Enterprise, Solent Local Enterprise Partnership, U.S. Department of Commerce, U.S. Department of Defense",4,6
