name,website
Sage,https://www.sagehealth.com
Mews,https://www.mews.com
RENK Group,https://www.renk.com
Nucoro,https://www.nucoro.com
Tilde,https://www.tilde.com/
Sia,https://sia.tech
JX,https://www.jx-nmm.com
Nanshan Aluminum,http://www.nanshanalu.com/
John Cockerill Hydrogen,https://hydrogen.johncockerill.com/en/
JENA,https://www.jena.so/
Skyld,https://www.skyld.io
Belss,https://www.belss.lv/en/
AES Embedded Solutions,https://www.aes-connect.com
cyex,https://cyex.io/
GKN Aerospace,https://www.gknaerospace.com/
Pegasus Development,https://pegasusbuild.com
GMV,https://gmvsyncromatics.com/
tns,https://tns.co
Adyta,https://www.adyta.pt/en
Thames Cryogenics,https://www.thamescryogenics.com
Integrated Technology Services,https://www.its-egy.com
