SECTOR,COMPANY,COUNTRY,TAX ID,MAIN FOCUS,Wikidata,Wikipedia url,WikidataURL
Mining,Rio Tinto,Australia / UK,96 004 458 404 (ABN),"Iron Ore, Aluminum, Copper, and Lithium.",Q821293,https://en.wikipedia.org/wiki/Rio_Tinto_Group,https://www.wikidata.org/wiki/Q821293
Mining,BHP Group,Australia,49 004 028 077 (ABN),"Iron Ore, Copper, Coal, Nickel, and Potash.",Q625713,https://en.wikipedia.org/wiki/BHP,https://www.wikidata.org/wiki/Q625713
Mining,Zijin Mining,China,91350000155042221X (USCC),"Copper, Gold, and Lithium (Lithium ""Argentina"").",Q202841,https://en.wikipedia.org/wiki/Zijin_Mining,https://www.wikidata.org/wiki/Q202841
Mining,China Shenhua Energy,China,9111000071093333XJ (USCC),World's largest Coal mining company; Power.,Q1073509,https://en.wikipedia.org/wiki/China_Shenhua_Energy,https://www.wikidata.org/wiki/Q1073509
Mining,Southern Copper Corporation,USA / Mexico,13-3849074 (EIN),One of the world's largest Copper producers.,Q7569806,https://en.wikipedia.org/wiki/Southern_Copper_Corporation,https://www.wikidata.org/wiki/Q7569806
Mining,Newmont Corporation,USA,84-0263435 (EIN),World's largest Gold producer; Copper.,Q1785405,https://en.wikipedia.org/wiki/Newmont_Corporation,https://www.wikidata.org/wiki/Q1785405
Mining,Agnico Eagle Mines,Canada,10006-2598-RT0001 (BN),"High-grade Gold mining (Canada, Finland, Mexico).",Q38676,https://en.wikipedia.org/wiki/Agnico_Eagle,https://www.wikidata.org/wiki/Q38676
Mining,Ma’aden (Saudi Arabian Mining Company),Saudi Arabia,1010164391 (CR Number),"Phosphate (Fertilizer), Aluminum, and Gold.",Q136990728,https://en.wikipedia.org/wiki/Ma'aden,https://www.wikidata.org/wiki/Q136990728
Mining,Grupo México,Mexico,GME0611277P6 (RFC),"Copper, Molybdenum, Silver, and Rail Transport.",Q623591,https://en.wikipedia.org/wiki/Grupo_M%C3%A9xico,https://www.wikidata.org/wiki/Q623591
Mining,Vale S.A.,Brazil,33.592.510/0001-54 (CNPJ),World's largest Iron Ore & Nickel producer.,Q583268,https://en.wikipedia.org/wiki/Vale_S.A.,https://www.wikidata.org/wiki/Q583268
Mining,Coal India,India,19AAACC0920P1ZN (GSTIN),Largest Coal producer globally (State-owned).,Q124976,https://en.wikipedia.org/wiki/Coal_India,https://www.wikidata.org/wiki/Q124976
Mining,Fortescue Metals Group,Australia,57 002 594 872 (ABN),Iron Ore and Green Hydrogen (Fortescue Energy).,Q1438957,https://en.wikipedia.org/wiki/Fortescue_Metals_Group,https://www.wikidata.org/wiki/Q1438957
Mining,Bayan Resources,Indonesia,02.433.110.0-091.000 (NPWP),High-calorie Coal mining and infrastructure.,,https://en.wikipedia.org/wiki/Bayan_Resources,https://www.wikidata.org/wiki/
Mining,Barrick Gold,Canada,10042-6136-RT0001 (BN),Gold and Copper (Tier One mining assets).,Q808908,https://en.wikipedia.org/wiki/Barrick_Gold,https://www.wikidata.org/wiki/Q808908
Mining,Anglo American,UK,GB 805 2374 88 (VAT),"Copper, Iron Ore, PGM (Platinum), Diamonds.",Q541451,https://en.wikipedia.org/wiki/Anglo_American_plc,https://www.wikidata.org/wiki/Q541451
Mining,Wheaton Precious Metals,Canada,85117-2348-RT0001 (BN),Precious Metals Streaming (Gold and Silver).,Q1747133,https://en.wikipedia.org/wiki/Wheaton_Precious_Metals,https://www.wikidata.org/wiki/Q1747133
Tech,Glencore,Switzerland,CHE-106.909.694 (Company Number),,Q182477,https://en.wikipedia.org/wiki/Nvidia,https://www.wikidata.org/wiki/Q182477
Tech,Nvidia,United States,94-2741749 (EIN),,Q2283,https://en.wikipedia.org/wiki/Microsoft,https://www.wikidata.org/wiki/Q2283
Tech,Microsoft,United States,91-1144442 (EIN),,Q312,https://en.wikipedia.org/wiki/Apple_Inc.,https://www.wikidata.org/wiki/Q312
Tech,Apple,United States,94-2404110 (EIN),,Q20800404,https://en.wikipedia.org/wiki/Alphabet_Inc.,https://www.wikidata.org/wiki/Q20800404
Tech,Alphabet (Google),United States,61-1767919 (EIN),,Q3884,https://en.wikipedia.org/wiki/Amazon_(company),https://www.wikidata.org/wiki/Q3884
