Al,"30/03/2026"
 
Ticker dell'emittente,Nome,Type,Settore,Asset Class,Valore di mercato,Ponderazione (%),Valore nozionale,Nominale,Prezzo,Area Geografica,Cambio,Valuta di mercato
"RTX","RTX CORP","EQUITY","Industriali","Azionario","118.617.541,50","7,59","118.617.541,50","633.810,00","187,15","Stati Uniti","New York Stock Exchange Inc.","USD"
"BA","BOEING","EQUITY","Industriali","Azionario","115.515.353,94","7,39","115.515.353,94","610.514,00","189,21","Stati Uniti","New York Stock Exchange Inc.","USD"
"GE","GE AEROSPACE","EQUITY","Industriali","Azionario","110.395.459,25","7,06","110.395.459,25","404.009,00","273,25","Stati Uniti","New York Stock Exchange Inc.","USD"
"RR.","ROLLS-ROYCE HOLDINGS PLC","EQUITY","Industriali","Azionario","95.692.825,76","6,12","95.692.825,76","6.552.445,00","14,60","Regno unito","London Stock Exchange","GBP"
"LMT","LOCKHEED MARTIN CORP","EQUITY","Industriali","Azionario","94.213.122,29","6,03","94.213.122,29","157.397,00","598,57","Stati Uniti","New York Stock Exchange Inc.","USD"
"NOC","NORTHROP GRUMMAN CORP","EQUITY","Industriali","Azionario","72.197.268,18","4,62","72.197.268,18","107.502,00","671,59","Stati Uniti","New York Stock Exchange Inc.","USD"
"AIR","AIRBUS GROUP","EQUITY","Industriali","Azionario","70.295.627,96","4,50","70.295.627,96","385.165,00","182,51","Francia","Nyse Euronext - Euronext Paris","EUR"
"GD","GENERAL DYNAMICS CORP","EQUITY","Industriali","Azionario","70.158.778,09","4,49","70.158.778,09","205.871,00","340,79","Stati Uniti","New York Stock Exchange Inc.","USD"
"HWM","HOWMET AEROSPACE INC","EQUITY","Industriali","Azionario","69.841.582,95","4,47","69.841.582,95","313.205,00","222,99","Stati Uniti","New York Stock Exchange Inc.","USD"
"BA.","BAE SYSTEMS PLC","EQUITY","Industriali","Azionario","68.459.723,85","4,38","68.459.723,85","2.432.895,00","28,14","Regno unito","London Stock Exchange","GBP"
"SAF","SAFRAN SA","EQUITY","Industriali","Azionario","67.375.386,32","4,31","67.375.386,32","214.153,00","314,61","Francia","Nyse Euronext - Euronext Paris","EUR"
"RHM","RHEINMETALL AG","EQUITY","Industriali","Azionario","60.308.210,11","3,86","60.308.210,11","37.318,00","1.616,07","Germania","Xetra","EUR"
"TDG","TRANSDIGM GROUP INC","EQUITY","Industriali","Azionario","51.899.498,56","3,32","51.899.498,56","45.812,00","1.132,88","Stati Uniti","New York Stock Exchange Inc.","USD"
"LHX","L3HARRIS TECHNOLOGIES INC","EQUITY","Industriali","Azionario","51.504.154,02","3,30","51.504.154,02","151.514,00","339,93","Stati Uniti","New York Stock Exchange Inc.","USD"
"AXON","AXON ENTERPRISE INC","EQUITY","Industriali","Azionario","26.569.460,84","1,70","26.569.460,84","64.012,00","415,07","Stati Uniti","NASDAQ","USD"
"012450","HANWHA AEROSPACE LTD","EQUITY","Industriali","Azionario","23.025.805,05","1,47","23.025.805,05","26.683,00","862,94","Corea","Korea Exchange (Stock Market)","KRW"
"RKLB","ROCKET LAB CORP","EQUITY","Industriali","Azionario","21.876.469,28","1,40","21.876.469,28","381.256,00","57,38","Stati Uniti","NASDAQ","USD"
"HO","THALES SA","EQUITY","Industriali","Azionario","20.738.351,19","1,33","20.738.351,19","73.497,00","282,17","Francia","Nyse Euronext - Euronext Paris","EUR"
"LDO","LEONARDO FINMECCANICA SPA","EQUITY","Industriali","Azionario","20.724.115,26","1,33","20.724.115,26","324.743,00","63,82","Italia","Borsa Italiana","EUR"
"CW","CURTISS WRIGHT CORP","EQUITY","Industriali","Azionario","18.945.366,44","1,21","18.945.366,44","29.974,00","632,06","Stati Uniti","New York Stock Exchange Inc.","USD"
"ESLT","ELBIT SYSTEMS LTD","EQUITY","Industriali","Azionario","18.205.395,27","1,16","18.205.395,27","21.739,00","837,45","Israele","Tel Aviv Stock Exchange","ILS"
"WWD","WOODWARD INC","EQUITY","Industriali","Azionario","16.516.248,72","1,06","16.516.248,72","48.361,00","341,52","Stati Uniti","NASDAQ","USD"
"SAAB B","SAAB CLASS B","EQUITY","Industriali","Azionario","16.127.670,17","1,03","16.127.670,17","254.639,00","63,34","Svezia","Nasdaq Omx Nordic","SEK"
"MTX","MTU AERO ENGINES HOLDING AG","EQUITY","Industriali","Azionario","14.981.553,34","0,96","14.981.553,34","43.789,00","342,13","Germania","Xetra","EUR"
"CRS","CARPENTER TECHNOLOGY CORP","EQUITY","Industriali","Azionario","14.951.475,72","0,96","14.951.475,72","40.332,00","370,71","Stati Uniti","New York Stock Exchange Inc.","USD"
"ATI","ATI INC","EQUITY","Industriali","Azionario","14.911.639,50","0,95","14.911.639,50","110.049,00","135,50","Stati Uniti","New York Stock Exchange Inc.","USD"
"KOG","KONGSBERG GRUPPEN","EQUITY","Industriali","Azionario","14.521.304,66","0,93","14.521.304,66","356.774,00","40,70","Norvegia","Oslo Bors Asa","NOK"
"BWXT","BWX TECHNOLOGIES INC","EQUITY","Industriali","Azionario","14.253.338,05","0,91","14.253.338,05","74.395,00","191,59","Stati Uniti","New York Stock Exchange Inc.","USD"
"HEIA","HEICO CORP CLASS A","EQUITY","Industriali","Azionario","12.866.668,88","0,82","12.866.668,88","62.801,00","204,88","Stati Uniti","New York Stock Exchange Inc.","USD"
"TXT","TEXTRON INC","EQUITY","Industriali","Azionario","12.143.187,90","0,78","12.143.187,90","141.282,00","85,95","Stati Uniti","New York Stock Exchange Inc.","USD"
"BBD.B","BOMBARDIER INC CLASS B","EQUITY","Industriali","Azionario","11.802.136,12","0,76","11.802.136,12","70.794,00","166,71","Canada","Toronto Stock Exchange","CAD"
"HII","HUNTINGTON INGALLS INDUSTRIES INC","EQUITY","Industriali","Azionario","11.787.307,96","0,75","11.787.307,96","31.937,00","369,08","Stati Uniti","New York Stock Exchange Inc.","USD"
"S63","SINGAPORE TECHNOLOGIES ENGINEERING","EQUITY","Industriali","Azionario","10.561.217,07","0,68","10.561.217,07","1.242.700,00","8,50","Singapore","Singapore Exchange","SGD"
"KTOS","KRATOS DEFENSE AND SECURITY SOLUTI","EQUITY","Industriali","Azionario","9.787.038,72","0,63","9.787.038,72","149.924,00","65,28","Stati Uniti","NASDAQ","USD"
"HEI","HEICO CORP","EQUITY","Industriali","Azionario","8.663.503,80","0,55","8.663.503,80","32.690,00","265,02","Stati Uniti","New York Stock Exchange Inc.","USD"
"047810","KOREA AEROSPACE INDUSTRIES LTD","EQUITY","Industriali","Azionario","6.729.067,59","0,43","6.729.067,59","58.551,00","114,93","Corea","Korea Exchange (Stock Market)","KRW"
"CAE","CAE INC","EQUITY","Industriali","Azionario","6.677.272,80","0,43","6.677.272,80","261.760,00","25,51","Canada","Toronto Stock Exchange","CAD"
"MOGA","MOOG INC CLASS A","EQUITY","Industriali","Azionario","6.574.406,48","0,42","6.574.406,48","23.164,00","283,82","Stati Uniti","New York Stock Exchange Inc.","USD"
"MRO","MELROSE INDUSTRIES PLC","EQUITY","Industriali","Azionario","6.185.715,45","0,40","6.185.715,45","951.224,00","6,50","Regno unito","London Stock Exchange","GBP"
"BAB","BABCOCK INTERNATIONAL GROUP PLC","EQUITY","Industriali","Azionario","6.179.606,99","0,40","6.179.606,99","407.135,00","15,18","Regno unito","London Stock Exchange","GBP"
"AM","DASSAULT AVIATION SA","EQUITY","Industriali","Azionario","5.261.166,19","0,34","5.261.166,19","14.651,00","359,10","Francia","Nyse Euronext - Euronext Paris","EUR"
"079550","LIG NEX1 LTD","EQUITY","Industriali","Azionario","4.911.411,51","0,31","4.911.411,51","10.852,00","452,58","Corea","Korea Exchange (Stock Market)","KRW"
"272210","HANWHA SYSTEMS LTD","EQUITY","Industriali","Azionario","4.761.030,71","0,30","4.761.030,71","59.789,00","79,63","Corea","Korea Exchange (Stock Market)","KRW"
"HXL","HEXCEL CORP","EQUITY","Industriali","Azionario","4.742.734,76","0,30","4.742.734,76","61.546,00","77,06","Stati Uniti","New York Stock Exchange Inc.","USD"
"KRMN","KARMAN HOLDINGS INC","EQUITY","Industriali","Azionario","4.655.300,40","0,30","4.655.300,40","62.220,00","74,82","Stati Uniti","New York Stock Exchange Inc.","USD"
"AVAV","AEROVIRONMENT INC","EQUITY","Industriali","Azionario","4.588.655,13","0,29","4.588.655,13","25.929,00","176,97","Stati Uniti","NASDAQ","USD"
"HAG","HENSOLDT AG","EQUITY","Industriali","Azionario","3.975.181,61","0,25","3.975.181,61","48.901,00","81,29","Germania","Xetra","EUR"
"SARO","STANDARDAERO","EQUITY","Industriali","Azionario","3.871.799,62","0,25","3.871.799,62","153.521,00","25,22","Stati Uniti","New York Stock Exchange Inc.","USD"
"VSEC","VSE CORP","EQUITY","Industriali","Azionario","3.863.208,57","0,25","3.863.208,57","23.361,00","165,37","Stati Uniti","NASDAQ","USD"
