iShares MSCI Global Metals & Mining Producers ETF
Fund Holdings as of,"Mar 27, 2026"
Inception Date,"Jan 31, 2012"
Shares Outstanding,"31,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BHP","BHP GROUP LTD","Materials","Equity","210,372,159.34","12.25","210,372,159.34","6,063,057.00","34.70","Australia","Asx - All Markets","USD","1.45","AUD","-"
"RIO","RIO TINTO PLC","Materials","Equity","117,224,246.97","6.82","117,224,246.97","1,347,617.00","86.99","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","96,396,990.96","5.61","96,396,990.96","1,714,029.00","56.24","United States","NYSE","USD","1.00","USD","-"
"GLEN","GLENCORE PLC","Materials","Equity","85,266,721.08","4.96","85,266,721.08","11,916,074.00","7.16","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"VALE3","CIA VALE DO RIO DOCE SH","Materials","Equity","65,488,227.96","3.81","65,488,227.96","4,337,476.00","15.10","Brazil","XBSP","USD","5.23","BRL","-"
"AAL","ANGLO AMERICAN PLC","Materials","Equity","54,385,253.51","3.17","54,385,253.51","1,336,831.00","40.68","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"RIO","RIO TINTO LTD","Materials","Equity","46,792,366.79","2.72","46,792,366.79","443,309.00","105.55","Australia","Asx - All Markets","USD","1.45","AUD","Jan 02, 1985"
"NUE","NUCOR CORP","Materials","Equity","44,662,580.71","2.60","44,662,580.71","273,383.00","163.37","United States","NYSE","USD","1.00","USD","-"
"GMEXICOB","GRUPO MEXICO B","Materials","Equity","37,347,233.73","2.17","37,347,233.73","3,719,248.00","10.04","Mexico","Bolsa Mexicana De Valores","USD","18.03","MXN","-"
"STLD","STEEL DYNAMICS INC","Materials","Equity","28,335,883.92","1.65","28,335,883.92","165,736.00","170.97","United States","NASDAQ","USD","1.00","USD","-"
"FMG","FORTESCUE LTD","Materials","Equity","28,113,655.91","1.64","28,113,655.91","2,021,419.00","13.91","Australia","Asx - All Markets","USD","1.45","AUD","-"
"1211","SAUDI ARABIAN MINING","Materials","Equity","27,929,756.55","1.63","27,929,756.55","1,624,819.00","17.19","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"TECK.B","TECK RESOURCES SUBORDINATE VOTING","Materials","Equity","26,525,595.75","1.54","26,525,595.75","545,766.00","48.60","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"MT","ARCELORMITTAL SA","Materials","Equity","25,545,959.20","1.49","25,545,959.20","509,638.00","50.13","France","Euronext Amsterdam","USD","0.87","EUR","-"
"VAL","VALTERRA PLATINUM LTD","Materials","Equity","24,236,633.21","1.41","24,236,633.21","316,902.00","76.48","South Africa","Johannesburg Stock Exchange","USD","17.09","ZAR","-"
"5401","NIPPON STEEL CORP","Materials","Equity","21,551,173.23","1.25","21,551,173.23","5,780,125.00","3.73","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"ANTO","ANTOFAGASTA PLC","Materials","Equity","20,434,563.12","1.19","20,434,563.12","470,769.00","43.41","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"005490","POSCO","Materials","Equity","19,779,333.24","1.15","19,779,333.24","87,006.00","227.33","Korea (South)","Korea Exchange (Stock Market)","USD","1,508.80","KRW","-"
"FM","FIRST QUANTUM MINERALS LTD","Materials","Equity","19,103,987.71","1.11","19,103,987.71","846,478.00","22.57","Canada","Toronto Stock Exchange","USD","1.39","CAD","Mar 01, 1996"
"LUN","LUNDIN MINING CORP","Materials","Equity","18,843,822.16","1.10","18,843,822.16","816,448.00","23.08","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"RS","RELIANCE STEEL & ALUMINUM","Materials","Equity","18,713,889.35","1.09","18,713,889.35","62,465.00","299.59","United States","NYSE","USD","1.00","USD","-"
"TATASTEEL","TATA STEEL LTD","Materials","Equity","18,171,059.89","1.06","18,171,059.89","8,915,429.00","2.04","India","National Stock Exchange Of India","USD","94.80","INR","-"
"AA","ALCOA CORP","Materials","Equity","18,119,249.28","1.05","18,119,249.28","310,208.00","58.41","United States","NYSE","USD","1.00","USD","-"
"SCCO","SOUTHERN COPPER CORP","Materials","Equity","17,620,898.68","1.03","17,620,898.68","108,724.00","162.07","Peru","NYSE","USD","1.00","USD","-"
"5713","SUMITOMO METAL MINING LTD","Materials","Equity","17,429,648.13","1.01","17,429,648.13","294,500.00","59.18","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"BOL","BOLIDEN","Materials","Equity","16,793,129.39","0.98","16,793,129.39","339,516.00","49.46","Sweden","Nasdaq Omx Nordic","USD","9.46","SEK","-"
"NHY","NORSK HYDRO","Materials","Equity","15,728,033.33","0.92","15,728,033.33","1,652,802.00","9.52","Norway","Oslo Bors Asa","USD","9.73","NOK","-"
"5016","JX ADVANCED METALS CORP","Materials","Equity","15,280,174.22","0.89","15,280,174.22","665,500.00","22.96","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"1378","CHINA HONGQIAO GROUP LTD","Materials","Equity","15,024,705.07","0.87","15,024,705.07","3,411,000.00","4.40","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"LYC","LYNAS RARE EARTHS LTD","Materials","Equity","14,927,887.60","0.87","14,927,887.60","1,079,220.00","13.83","Australia","Asx - All Markets","USD","1.45","AUD","-"
"S32","SOUTH32 LTD","Materials","Equity","14,877,876.10","0.87","14,877,876.10","5,359,339.00","2.78","Australia","Asx - All Markets","USD","1.45","AUD","-"
"HINDALCO","HINDALCO INDUSTRIES LTD","Materials","Equity","14,769,442.92","0.86","14,769,442.92","1,615,509.00","9.14","India","National Stock Exchange Of India","USD","94.80","INR","-"
"IMP","IMPALA PLATINUM LTD","Materials","Equity","14,062,470.02","0.82","14,062,470.02","1,079,619.00","13.03","South Africa","Johannesburg Stock Exchange","USD","17.09","ZAR","-"
"PLS","PLS GROUP LTD","Materials","Equity","13,616,216.18","0.79","13,616,216.18","3,838,173.00","3.55","Australia","Asx - All Markets","USD","1.45","AUD","-"
"5706","MITSUI KINZOKU LIMITED LTD","Materials","Equity","13,414,399.45","0.78","13,414,399.45","68,700.00","195.26","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"KGH","KGHM POLSKA MIEDZ SA","Materials","Equity","11,730,660.12","0.68","11,730,660.12","167,855.00","69.89","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.72","PLN","-"
"VEDL","VEDANTA LTD","Materials","Equity","11,232,451.08","0.65","11,232,451.08","1,639,745.00","6.85","India","National Stock Exchange Of India","USD","94.80","INR","-"
"3993","CMOC GROUP LTD","Materials","Equity","9,608,587.41","0.56","9,608,587.41","4,485,000.00","2.14","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"BSL","BLUESCOPE STEEL LTD","Materials","Equity","9,605,912.60","0.56","9,605,912.60","521,693.00","18.41","Australia","Asx - All Markets","USD","1.45","AUD","-"
"SSW","SIBANYE STILLWATER LTD","Materials","Equity","9,602,462.84","0.56","9,602,462.84","3,372,833.00","2.85","South Africa","Johannesburg Stock Exchange","USD","17.09","ZAR","-"
"HBM","HUDBAY MINERALS INC","Materials","Equity","9,217,118.72","0.54","9,217,118.72","473,721.00","19.46","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"MP","MP MATERIALS CORP CLASS A","Materials","Equity","8,790,511.80","0.51","8,790,511.80","169,701.00","51.80","United States","NYSE","USD","1.00","USD","-"
"JSWSTEEL","JSW STEEL LTD","Materials","Equity","8,733,109.64","0.51","8,733,109.64","732,469.00","11.92","India","National Stock Exchange Of India","USD","94.80","INR","-"
"2002","CHINA STEEL CORP","Materials","Equity","8,617,651.98","0.50","8,617,651.98","14,020,612.00","0.61","Taiwan","Taiwan Stock Exchange","USD","31.89","TWD","-"
"PMETAL","PRESS METAL ALUMINIUM HOLDINGS","Materials","Equity","8,417,080.99","0.49","8,417,080.99","4,438,600.00","1.90","Malaysia","Bursa Malaysia","USD","4.01","MYR","-"
"MIN","MINERAL RESOURCES LTD","Materials","Equity","8,265,866.33","0.48","8,265,866.33","211,669.00","39.05","Australia","Asx - All Markets","USD","1.45","AUD","-"
"NPH","NORTHAM PLATINUM HLDGS LTD","Materials","Equity","8,139,618.68","0.47","8,139,618.68","431,290.00","18.87","South Africa","Johannesburg Stock Exchange","USD","17.09","ZAR","-"
"5411","JFE HOLDINGS INC","Materials","Equity","8,114,056.64","0.47","8,114,056.64","686,800.00","11.81","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"CMC","COMMERCIAL METALS","Materials","Equity","7,721,517.20","0.45","7,721,517.20","132,490.00","58.28","United States","NYSE","USD","1.00","USD","-"
"IVN","IVANHOE MINES LTD CLASS A","Materials","Equity","7,498,438.63","0.44","7,498,438.63","935,250.00","8.02","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"AUD","AUD CASH","Cash and/or Derivatives","Cash","7,157,126.10","0.42","7,157,126.10","10,389,963.00","68.89","Australia","-","USD","1.45","AUD","-"
"CS","CAPSTONE COPPER CORP","Materials","Equity","6,926,250.67","0.40","6,926,250.67","983,131.00","7.05","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"BVN","BUENAVENTURA ADR REPRESENTING","Materials","Equity","6,670,558.79","0.39","6,670,558.79","198,943.00","33.53","Peru","NYSE","USD","1.00","USD","-"
"HCC","WARRIOR MET COAL INC","Materials","Equity","6,224,174.04","0.36","6,224,174.04","62,769.00","99.16","United States","NYSE","USD","1.00","USD","-"
"2600","ALUMINUM CORPORATION OF CHINA LTD","Materials","Equity","6,158,293.75","0.36","6,158,293.75","4,462,000.00","1.38","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"SFR","SANDFIRE RESOURCES LTD","Materials","Equity","6,010,826.10","0.35","6,010,826.10","549,489.00","10.94","Australia","Asx - All Markets","USD","1.45","AUD","-"
"358","JIANGXI COPPER LTD H","Materials","Equity","5,709,287.06","0.33","5,709,287.06","1,247,000.00","4.58","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"SSAB B","SSAB CLASS B","Materials","Equity","5,707,592.32","0.33","5,707,592.32","756,512.00","7.54","Sweden","Nasdaq Omx Nordic","USD","9.46","SEK","-"
"VOE","VOESTALPINE AG","Materials","Equity","5,640,834.60","0.33","5,640,834.60","128,513.00","43.89","Austria","Wiener Boerse Ag","USD","0.87","EUR","-"
"CLF","CLEVELAND CLIFFS INC","Materials","Equity","5,532,147.29","0.32","5,532,147.29","682,139.00","8.11","United States","NYSE","USD","1.00","USD","-"
"5406","KOBE STEEL LTD","Materials","Equity","5,499,472.35","0.32","5,499,472.35","448,200.00","12.27","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"GGBR4","GERDAU PREF SA","Materials","Equity","5,311,160.70","0.31","5,311,160.70","1,532,825.00","3.46","Brazil","XBSP","USD","5.23","BRL","-"
"TKA","THYSSENKRUPP AG","Materials","Equity","5,194,886.70","0.30","5,194,886.70","596,936.00","8.70","Germany","Xetra","USD","0.87","EUR","-"
"JINDALSTEL","JINDAL STEEL LTD","Materials","Equity","5,094,288.09","0.30","5,094,288.09","426,856.00","11.93","India","National Stock Exchange Of India","USD","94.80","INR","-"
"NDA","AURUBIS AG","Materials","Equity","5,015,509.58","0.29","5,015,509.58","29,616.00","169.35","Germany","Xetra","USD","0.87","EUR","-"
"AMMN","AMMAN MINERAL INTERNASIONAL","Materials","Equity","4,961,926.51","0.29","4,961,926.51","17,356,512.00","0.29","Indonesia","Indonesia Stock Exchange","USD","16,965.00","IDR","-"
"1208","MMG LTD","Materials","Equity","4,834,275.06","0.28","4,834,275.06","5,075,600.00","0.95","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"5711","MITSUBISHI MATERIALS CORP","Materials","Equity","4,702,513.35","0.27","4,702,513.35","146,800.00","32.03","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"APLAPOLLO","APL APOLLO TUBES LTD","Materials","Equity","4,526,066.90","0.26","4,526,066.90","216,029.00","20.95","India","National Stock Exchange Of India","USD","94.80","INR","-"
"IGO","IGO LTD","Materials","Equity","4,440,821.21","0.26","4,440,821.21","812,953.00","5.46","Australia","Asx - All Markets","USD","1.45","AUD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","4,102,813.76","0.24","4,102,813.76","4,102,814.00","1.00","United States","-","USD","1.00","USD","-"
"GBP","GBP CASH","Cash and/or Derivatives","Cash","3,928,161.05","0.23","3,928,161.05","2,955,616.00","132.90","United Kingdom","-","USD","0.75","GBP","-"
"NATIONALUM","NATIONAL ALUMINIUM CO LTD","Materials","Equity","3,870,445.60","0.23","3,870,445.60","989,011.00","3.91","India","National Stock Exchange Of India","USD","94.80","INR","-"
"5714","DOWA HOLDINGS LTD","Materials","Equity","3,711,555.15","0.22","3,711,555.15","63,300.00","58.63","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"CSTM","CONSTELLIUM SE CLASS A","Materials","Equity","3,512,370.78","0.20","3,512,370.78","150,294.00","23.37","United States","NYSE","USD","1.00","USD","-"
"5444","YAMATO KOGYO LTD","Materials","Equity","3,508,985.61","0.20","3,508,985.61","45,300.00","77.46","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"MTRN","MATERION CORP","Materials","Equity","3,493,605.51","0.20","3,493,605.51","24,709.00","141.39","United States","NYSE","USD","1.00","USD","-"
"CENX","CENTURY ALUMINUM","Materials","Equity","3,372,178.35","0.20","3,372,178.35","67,919.00","49.65","United States","NASDAQ","USD","1.00","USD","-"
