iShares Global Tech ETF
Fund Holdings as of,"Mar 27, 2026"
Inception Date,"Nov 12, 2001"
Shares Outstanding,"62,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","839,754,642.24","13.67","839,754,642.24","5,012,862.00","167.52","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","753,510,952.80","12.26","753,510,952.80","3,028,581.00","248.80","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","546,513,843.26","8.89","546,513,843.26","1,531,838.00","356.77","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","294,089,395.08","4.79","294,089,395.08","978,081.00","300.68","United States","NASDAQ","USD","1.00","USD","-"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","284,090,879.16","4.62","284,090,879.16","4,977,600.00","57.07","Taiwan","Taiwan Stock Exchange","USD","31.89","TWD","Nov 10, 1994"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","215,852,119.37","3.51","215,852,119.37","1,812,341.00","119.10","Korea (South)","Korea Exchange (Stock Market)","USD","1,508.80","KRW","-"
"ASML","ASML HOLDING NV","Information Technology","Equity","186,842,181.39","3.04","186,842,181.39","141,471.00","1,320.71","Netherlands","Euronext Amsterdam","USD","0.87","EUR","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","146,538,073.96","2.38","146,538,073.96","410,218.00","357.22","United States","NASDAQ","USD","1.00","USD","-"
"000660","SK HYNIX INC","Information Technology","Equity","121,607,693.53","1.98","121,607,693.53","199,004.00","611.08","Korea (South)","Korea Exchange (Stock Market)","USD","1,508.80","KRW","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","120,030,739.59","1.95","120,030,739.59","594,241.00","201.99","United States","NASDAQ","USD","1.00","USD","-"
