name,domain
2 Mv Composites,
Additess Advanced Integrated Technology Solutions Services,additess.com
Advanced Building Industries,
Aerospace Propulsion Products (A P P ),appbv.nl
Aguettant Diagnostics,
Akmon Symvouloi Epicheiriseon Antiprosopeies Emporiki Exagogiki Eisagogiki Kataskevastiki Kai Vi,akmonsa.gr
Amonyx Aps,amonyx.com
Antexia Technologies Sl,antexia.es
Arxlight,arxlight.com
Avilus,avilus.com
Bloodout Ou,bloodout.eu
Blue Insight Technologies Unipessoal Lda,blueinsight.eu
Bradespar PREF SA,bradespar.com.br
Brightelligence Sp Z O O,brightelligence.com
C V Defence,cnv-defence.eu
Cafa Tech Ou,cafatech.com
Changeneering As,changeneering.no
China Metal Recycling () L,chinametalrecycle.com
China RARE Earth Resources AND TEC,
Composite Project Kft,composite-project.com
Crosshill,crosshill.fi
Ct Ingenieros Aeronauticos De Automocion E Industriales Sl,ctingenieros.es
Damen Naval,damennaval.com
Damen Schelde Naval Shipbuilding,damennaval.com
Drass Galeazzi,drass.it
E S T E,estetechnology.com
Edair Technologies Sl,
Eight Bells Hellas I K E,8bellshellas.com
Enamor Spolka Z Ograniczona Odpowiedzialnoscia,enamorint.com
Esc Defence S R O,esc-aerospace.cz
Factiven,factiven.io
Feac Engineering Private,feacomp.com
Fiberbridge Photonics,fiberbridge-photonics.com
Fireco As,fireco.no
Gd European Land Systems Steyr,steyr-systems.com
Geoimaging,geoimaging.com.cy
Giss Spolka Z Ograniczona Odpowiedzialnoscia,giss.pl
Global Design Technology,gdtech.net
Gmvis Skysoft,gmv.com.pt
Grabher,grabher-group.at
Harp Technologies,harptechnologies.com
Hellenic Radiation Dosimetry Ike,herado.eu
HON HAI Precision Industry,honhai.com
Hudson Dynamics B V,hudson.tech
Immunor As,immunor.com
Infili Technologies,infili.com
Intelekt Tv Llc,intelekt.net
Isaware,isaware.fi
Isd Aerospace,isdasa.com
Isd Lyseis Olokriromenon Systimatonanonymos Etaireia,isd.gr
Issel Nord,
Itres,itres-system.com
Jena Optronik,jena-optronik.com
Jinchuan Resou,en.jnmc.com
Kapamed,kapamed.ro
Kapamed Ukraine Llc,kapamed.ro
Knds Ammo France,knds.fr
Knds Ammo Italy,knds.fr
Knds Deutschland,knds.de
Knds Deutschland Tracks,knds-tracks.de
Knds France,knds.fr
Knds France Robotics,nexter-robotics.com
Logiicdev,logiicdev.eu
Logstail Single Member Privatecompany,logstail.com
M3 Systems Belgium,
Maanshan IRON AND Steel H,magang.com.hk
Marduk Technologies Ou,marduk.ee
Marinom,marinom.de
Marte Arge Gbr,
Meccanica Per L'Elettronica E Servomeccanismi Mes Societa Per Azioni,mesroma.it
Metalurgica Gerdau PREF SA,gerdau.com
Mews Labs,mews-labs.com
Mil Sistemika Int Informacijske Resitve D O O,milsistemika.com
Mimicrys Systems,mimicrys.com
Motor Oil Renewable Energy Monoprosopi Ae,more-energy.gr
Msm Land Systems S R O,msmls.sk
N7 Nemzeti Vedelmi Ipari Innovacios Zartkoruen Mukodo Reszvenytarsasag,
Naxys Technologies As,naxystechnologies.com
Neosat,neosat.de
NMDC Steel,nsltd.in
Nordic Radar Solutions Aps,nordicradarsolutions.com
Nurenda Technologies,nurenda.com
Oceanscan Marine Systems Technology Lda,oceanscan-mst.com
Ohb Hellas Monoprosopi Etaireia Periorismenis Efthinis,ohb-hellas.gr
Onedrone Sobodne Tehnologije Doo,onedrone.com
Opgs Pharmaceuticals,
Osrodek Badawczo Rozwojowy Urzadzen Mechanicznych Obrum Sp Zo O,obrum.pl
Patria Land,patria.fi
Pegasus Research Development,
Pno Innovation,pnoinnovation.com
Polyamp Aktiebolag,polyamp.se
Renk,renk-group.com
Rialiskeip Typorama Monoprosopi Etairia Periorismenis Efthynis,typorama.gr
Ricardo Domingos Bergano Lda,atlar.pt
Robotina D O O Podjetje Za Inzeniring Marketing Trgovino In Proizvodnjo,robotina.si
Rockwell Collins France,rockwellcollins.fr
Safran Ai,safran-goup.com
Safran Transmission Systems,safran-transmission-systems.com
Scertas,scertas.de
Schwar Jorg,35reclaim.com
Sener Aeroespacial Sociedad Anonima,aeroespacial.sener
Sia Exonicus R D,exonicus.eu
Slf Svenska Laserfabriken,laserfabriken.com
Societe Belge De Materiaux Composites,sobelcomp.be
Spacewave Ou,spacewave.eu
St Analytics,st-analytics.de
Starion Nederland,stariongroup.eu
Tdw Gesellschaft Fur Verteidigungstechnische Wirksysteme Mit Beschrankte Rhaftung,tdw-warhead-systems.de
Telespazio Germany,telespazio.de
Thales Nederland,thales-nederland.nl
Thales Norway As,thales.no
Tiangong,tiangong-tools.com
TKO Class A,tkogroup.com
TR Anadolu Metal Madencilik Isletm,tranadolumetal.com
True Communication Technologies,vrai.ie
United Rusal,rusal.com
Viohalco SA,viohalco.gr
Xiamen Tungsten A,xiamentungsten.com
Xysensing Spolka Z Ograniczona Odpowiedzialnoscia,xysensing.pl
Zaklady Metalowe Dezamet Spolka Akcyjna,dezamet.com.pl
Zatloukal Innovations,zatloukal-innovations.at
