name,website
Tilde,https://www.tilde.com/
ITP AERO,https://www.itpaero.com/es/
JX,https://www.jx-nmm.com
Aernnova Aerospace,http://www.aernnova.com/en/
Nanshan Aluminum,http://www.nanshanalu.com/
Skyld,https://www.skyld.io
Belss,https://www.belss.lv/en/
AES Embedded Solutions,https://www.aes-connect.com
VIRO,https://careers.viro-group.com/nl/
GMV,https://www.gmv.com/en-es
Sage,https://www.na.sage.com
Latvian Mobile Phone,https://www.lmt.lv
Txt E Solutions,https://lp.txtgroup.com
ATLAS ELEKTRONIK,https://www.atlas-elektronik.com/atlas-elektronik
CS GROUP,https://www.csgroup.eu/fr/
Grupo Tecopy,http://www.grupotecopy.es
The Hellenic Aerospace Industry,https://www.haicorp.com/en/
Novian,https://www.novian.io
IABG,http://www.iabg.de/en.html
Saab Sensis Corporation,https://saab.com/saab-sensis
Saab-Maritime Traffic Management business,https://www.saab.com/products/naval/maritime-traffic-management
tns,https://tns.co
BAOSTEEL,http://www.baosteel.com/group_en/
MSM Group,https://www.msm.sk
Adyta,https://www.adyta.pt/en
Nanshan Group,http://www.nanshan.com.cn/
Jindal Drilling & Industries,http://www.jindal.com
Erdemir,https://www.erdemir.com.tr/corporate/
Leonardo Electronics US,https://electronics.leonardo.com
Alrosa,https://www.alrosa.ru/
Speed,https://speed.gdynia.pl
East Sunshine,http://www.hec.cn/
Marinetechnik,https://www.mtg-marinetechnik.de
Jastrzębska Spółka Węglowa,https://www.jsw.pl/en
Chelyabinsk Metallurgical Plant,http://www.mechel.ru/sector/steel/cmk/
Usiminas,https://www.usiminas.com.br
Shenyang Aluminium & Magnesium Engineering & Research Institute (SAMI),https://sami.chinalco.com.cn/
Rbt Europe Korlatolt Felelossegu Tarsasag,https://www.rbteurope.com
