iShares Global Comm Services ETF
Fund Holdings as of,"Mar 27, 2026"
Inception Date,"Nov 12, 2001"
Shares Outstanding,"5,150,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"META","META PLATFORMS INC CLASS A","Communication","Equity","80,740,603.32","14.06","80,740,603.32","153,581.00","525.72","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","59,282,953.62","10.32","59,282,953.62","216,093.00","274.34","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","47,522,545.92","8.27","47,522,545.92","173,592.00","273.76","United States","NASDAQ","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","29,919,543.30","5.21","29,919,543.30","1,028,163.00","29.10","United States","NYSE","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","27,693,290.43","4.82","27,693,290.43","550,453.00","50.31","United States","NYSE","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","27,656,214.30","4.81","27,656,214.30","296,010.00","93.43","United States","NASDAQ","USD","1.00","USD","-"
"700","TENCENT HOLDINGS LTD","Communication","Equity","26,993,246.00","4.70","26,993,246.00","428,500.00","62.99","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"DIS","WALT DISNEY","Communication","Equity","25,595,626.58","4.46","25,595,626.58","276,949.00","92.42","United States","NYSE","USD","1.00","USD","-"
"DTE","DEUTSCHE TELEKOM N AG","Communication","Equity","20,899,343.52","3.64","20,899,343.52","572,452.00","36.51","Germany","Xetra","USD","0.87","EUR","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","16,966,865.33","2.95","16,966,865.33","598,901.00","28.33","United States","NASDAQ","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","16,670,802.32","2.90","16,670,802.32","79,076.00","210.82","United States","NASDAQ","USD","1.00","USD","-"
"9984","SOFTBANK GROUP CORP","Communication","Equity","15,949,581.94","2.78","15,949,581.94","647,300.00","24.64","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"7974","NINTENDO LTD","Communication","Equity","11,209,104.25","1.95","11,209,104.25","194,800.00","57.54","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"WBD","WARNER BROS. DISCOVERY INC SERIES","Communication","Equity","11,198,534.16","1.95","11,198,534.16","413,688.00","27.07","United States","NASDAQ","USD","1.00","USD","-"
"9432","NTT INC","Communication","Equity","8,688,432.36","1.51","8,688,432.36","8,751,000.00","0.99","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"9433","KDDI CORP","Communication","Equity","7,950,762.12","1.38","7,950,762.12","467,600.00","17.00","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"EA","ELECTRONIC ARTS INC","Communication","Equity","7,594,767.96","1.32","7,594,767.96","37,596.00","202.01","United States","NASDAQ","USD","1.00","USD","-"
"TLS","TELSTRA GROUP LTD","Communication","Equity","6,897,276.49","1.20","6,897,276.49","1,878,563.00","3.67","Australia","Asx - All Markets","USD","1.45","AUD","-"
"9434","SOFTBANK CORP","Communication","Equity","6,538,559.12","1.14","6,538,559.12","4,792,300.00","1.36","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"9999","NETEASE INC","Communication","Equity","6,283,173.74","1.09","6,283,173.74","284,300.00","22.10","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"ORA","ORANGE SA","Communication","Equity","6,106,016.84","1.06","6,106,016.84","306,366.00","19.93","France","Nyse Euronext - Euronext Paris","USD","0.87","EUR","Jan 01, 1998"
